,infectados,hospitalizados
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,278.785,83.6355
22,261.009,78.3027
23,258.209,77.4627
24,267.812,80.3436
25,282.484,84.7452
26,304.502,91.3506
27,330.864,99.2592
28,362.373,108.7119
29,397.326,119.1978
30,438.701,131.6103
31,484.686,145.4058
32,535.176,160.5528
33,593.106,177.9318
34,655.406,196.6218
35,727.945,218.3835
36,808.553,242.5659
37,897.53,269.259
38,998.678,299.6034
39,1111.556,333.4668
40,1239.684,371.9052
41,1377.644,413.2932
42,1535.083,460.5249
43,1714.753,514.4259
44,1913.944,574.1832
45,2138.861,641.6583
46,2394.897,718.4691
47,2677.863,803.3589
48,3000.472,900.1416
49,3364.835,1009.4505
50,3773.69,1132.107
51,4230.236,1269.0708
52,4747.21,1424.163
53,5336.251,1600.8753
54,5992.146,1797.6438
55,6743.667,2023.1001
56,7584.535,2275.3605
57,8521.054,2556.3162
58,9585.138,2875.5414
59,10777.691,3233.3073
60,12103.271,3630.9813
61,13591.014,4077.3042
62,15253.299,4575.9897
63,17080.75,5124.225
64,19135.085,5740.5255
65,21368.864,6410.6592
66,23812.525,7143.7575
67,26476.694,7943.0082
68,29371.229,8811.3687
69,32475.24,9742.572
70,35789.372,10736.8116
71,39303.362,11791.0086
72,43037.082,12911.1246
73,46959.42,14087.826
74,51063.204,15318.9612
75,55326.801,16598.0403
76,59732.575,17919.7725
77,64287.74,19286.322
78,68979.642,20693.8926
79,73785.721,22135.7163
80,78683.265,23604.9795
81,83640.898,25092.2694
82,88669.687,26600.9061
83,93739.828,28121.9484
84,98797.342,29639.2026
85,103851.084,31155.3252
86,108860.787,32658.2361
87,113750.533,34125.1599
88,118542.656,35562.7968
89,123210.482,36963.1446
90,127687.732,38306.3196
91,132001.284,39600.3852
92,136052.436,40815.7308
93,139885.497,41965.6491
94,143428.8,43028.64
95,146742.757,44022.8271
96,149677.925,44903.3775
97,152349.558,45704.8674
98,154688.725,46406.6175
99,156668.617,47000.5851
100,158385.865,47515.7595
101,159699.154,47909.7462
102,160767.654,48230.2962
103,161461.548,48438.4644
104,161849.671,48554.9013
105,161937.307,48581.1921
106,161769.888,48530.9664
107,161278.377,48383.5131
108,160542.346,48162.7038
109,159553.847,47866.1541
110,158361.166,47508.3498
111,156942.983,47082.8949
112,155317.613,46595.2839
113,153533.707,46060.1121
114,151605.092,45481.5276
115,149503.768,44851.1304
116,147276.584,44182.9752
117,144991.855,43497.5565
118,142555.618,42766.6854
119,140049.526,42014.8578
120,137457.818,41237.3454
121,134862.536,40458.7608
122,132210.368,39663.1104
123,129500.041,38850.0123
124,126778.741,38033.6223
125,124028.119,37208.4357
126,121306.751,36392.0253
127,118561.109,35568.3327
128,115799.789,34739.9367
129,113082.102,33924.6306
130,110386.277,33115.8831
131,107690.65,32307.195
132,105033.213,31509.9639
133,102410.715,30723.2145
134,99811.292,29943.3876
135,97217.51,29165.253
136,94717.24,28415.172
137,92205.112,27661.5336
138,89739.06,26921.718
139,87328.058,26198.4174
140,84947.083,25484.1249
141,82622.573,24786.7719
142,80330.178,24099.0534
143,78085.648,23425.6944
144,75890.435,22767.1305
145,73746.919,22124.0757
146,71627.805,21488.3415
147,69578.956,20873.6868
148,67562.722,20268.8166
149,65600.842,19680.2526
150,63671.873,19101.5619
151,61818.348,18545.5044
152,59972.386,17991.7158
153,58209.512,17462.8536
154,56485.216,16945.5648
155,54801.916,16440.5748
156,53148.98,15944.694
157,51554.92,15466.476
158,50015.51,15004.653
159,48508.489,14552.5467
160,47035.732,14110.7196
161,45619.599,13685.8797
162,44235.664,13270.6992
163,42899.048,12869.7144
164,41573.743,12472.1229
165,40317.834,12095.3502
166,39070.399,11721.1197
167,37876.94,11363.082
168,36714.305,11014.2915
169,35588.053,10676.4159
170,34490.581,10347.1743
171,33424.844,10027.4532
172,32387.427,9716.2281
173,31383.252,9414.9756
174,30402.75,9120.825
175,29455.837,8836.7511
176,28542.061,8562.6183
177,27640.436,8292.1308
178,26778.951,8033.6853
179,25943.764,7783.1292
180,25126.337,7537.9011
181,24337.388,7301.2164
182,23573.682,7072.1046
183,22824.463,6847.3389
184,22102.483,6630.7449
185,21402.076,6420.6228
186,20722.552,6216.7656
187,20067.298,6020.1894
188,19431.295,5829.3885
189,18819.833,5645.9499
190,18215.514,5464.6542
191,17632.196,5289.6588
192,17081.195,5124.3585
193,16525.945,4957.7835
194,16005.752,4801.7256
195,15496.071,4648.8213
196,15002.997,4500.8991
197,14522.864,4356.8592
198,14057.492,4217.2476
199,13604.827,4081.4481
